Date,Age,Tm,Opp,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
2018-10-17,20-097,LAC,DEN,L (-9),28:12,5,6,0.833,0,0,,1,1,1.0,0,2,2,4,1,1,3,1,11,0
2018-10-19,20-099,LAC,OKC,W (+16),23:16,0,2,0.0,0,1,0.0,2,2,1.0,0,3,3,4,0,0,2,2,2,12
2018-10-21,20-101,LAC,HOU,W (+3),25:35,4,8,0.5,0,1,0.0,4,4,1.0,1,4,5,4,1,0,2,0,12,21
2018-10-23,20-103,LAC,NOP,L (-7),22:11,3,8,0.375,1,1,1.0,2,2,1.0,2,2,4,2,1,1,3,4,9,-11
2018-10-26,20-106,LAC,HOU,W (+20),31:09,3,7,0.429,1,1,1.0,3,4,0.75,0,1,1,1,2,0,0,1,10,13
2018-10-28,20-108,LAC,WAS,W (+32),28:22,4,8,0.5,1,1,1.0,1,2,0.5,2,6,8,7,2,0,1,4,10,24
2018-10-30,20-110,LAC,OKC,L (-18),22:40,2,4,0.5,0,1,0.0,1,1,1.0,0,0,0,3,0,1,2,0,5,-10
2018-11-01,20-112,LAC,PHI,L (-9),17:31,3,8,0.375,0,0,,1,1,1.0,0,2,2,2,0,1,1,2,7,-18
2018-11-02,20-113,LAC,ORL,W (+25),24:47,2,6,0.333,0,2,0.0,4,4,1.0,0,1,1,1,1,0,3,3,8,22
2018-11-05,20-116,LAC,MIN,W (+11),24:33,2,6,0.333,0,1,0.0,2,2,1.0,2,1,3,5,1,1,2,2,6,7
2018-11-08,20-119,LAC,POR,L (-11),35:21,7,12,0.583,2,2,1.0,3,6,0.5,1,2,3,2,0,1,1,3,19,-16
2018-11-10,20-121,LAC,MIL,W (+2),39:51,5,13,0.385,2,3,0.667,4,4,1.0,1,5,6,4,1,3,2,3,16,6
2018-11-12,20-123,LAC,GSW,W (+5),38:27,8,11,0.727,0,3,0.0,2,2,1.0,0,5,5,3,2,1,4,1,18,-3
2018-11-15,20-126,LAC,SAS,W (+5),27:05,4,9,0.444,0,2,0.0,1,2,0.5,2,3,5,0,0,0,2,4,9,3
2018-11-17,20-128,LAC,BRK,W (+8),20:01,2,9,0.222,0,1,0.0,0,0,,0,2,2,2,0,0,1,5,4,-10
2018-11-19,20-130,LAC,ATL,W (+8),29:09,5,9,0.556,0,2,0.0,6,8,0.75,2,0,2,1,1,1,3,1,16,-7
2018-11-20,20-131,LAC,WAS,L (-7),28:54,6,11,0.545,1,4,0.25,4,5,0.8,1,2,3,3,3,1,2,0,17,5
2018-11-23,20-134,LAC,MEM,W (+5),29:05,4,14,0.286,0,2,0.0,0,0,,1,1,2,5,1,0,1,1,8,-10
2018-11-25,20-136,LAC,POR,W (+4),29:37,4,9,0.444,0,1,0.0,4,5,0.8,0,4,4,2,1,1,2,1,12,13
2018-11-28,20-139,LAC,PHO,W (+16),28:55,5,11,0.455,2,2,1.0,1,2,0.5,3,4,7,6,1,1,4,0,13,24
2018-11-29,20-140,LAC,SAC,W (+12),32:28,6,9,0.667,1,1,1.0,4,5,0.8,1,4,5,4,2,2,0,3,17,20
2018-12-02,20-143,LAC,DAL,L (-4),24:17,2,5,0.4,0,1,0.0,4,4,1.0,0,1,1,0,1,1,1,1,8,-13
2018-12-03,20-144,LAC,NOP,W (+3),23:16,3,5,0.6,1,2,0.5,0,0,,1,1,2,2,0,0,1,0,7,-1
2018-12-05,20-146,LAC,MEM,L (-10),28:40,4,9,0.444,1,1,1.0,3,4,0.75,1,3,4,4,3,1,1,1,12,10
2018-12-08,20-149,LAC,MIA,L (-23),19:21,3,9,0.333,0,1,0.0,2,2,1.0,1,2,3,2,1,0,1,3,8,-8
2018-12-10,20-151,LAC,PHO,W (+4),33:35,8,12,0.667,0,0,,0,0,,2,2,4,5,1,1,2,3,16,8
2018-12-11,20-152,LAC,TOR,L (-24),21:55,3,6,0.5,1,2,0.5,0,0,,1,1,2,2,1,0,2,1,7,-29
2018-12-13,20-154,LAC,SAS,L (-38),28:15,6,8,0.75,1,2,0.5,0,0,,1,1,2,2,1,0,3,1,13,-13
2018-12-15,20-156,LAC,OKC,L (-6),21:12,1,4,0.25,0,0,,0,2,0.0,1,1,2,2,1,1,2,0,2,-10
2018-12-17,20-158,LAC,POR,L (-4),37:49,9,15,0.6,2,7,0.286,4,5,0.8,0,2,2,3,0,0,2,3,24,-3
2018-12-20,20-161,LAC,DAL,W (+4),19:12,2,4,0.5,0,0,,0,0,,0,1,1,1,1,0,1,3,4,-19
2018-12-22,20-163,LAC,DEN,W (+21),32:34,6,10,0.6,0,0,,2,2,1.0,0,2,2,6,2,1,0,2,14,23
2018-12-23,20-164,LAC,GSW,L (-2),27:41,1,3,0.333,1,1,1.0,0,0,,0,0,0,2,0,1,2,2,3,-15
2018-12-26,20-167,LAC,SAC,W (+9),26:09,6,11,0.545,1,2,0.5,0,0,,1,3,4,1,0,0,0,2,13,-10
2018-12-28,20-169,LAC,LAL,W (+11),17:23,2,8,0.25,1,2,0.5,2,2,1.0,0,1,1,0,1,0,1,3,7,-1
2018-12-29,20-170,LAC,SAS,L (-11),20:54,2,3,0.667,1,1,1.0,0,0,,0,2,2,1,0,0,1,3,5,-4
2019-01-01,20-173,LAC,PHI,L (-6),20:07,4,7,0.571,0,1,0.0,0,0,,1,1,2,5,2,0,2,5,8,-6
2019-01-04,20-176,LAC,PHO,W (+10),18:31,1,6,0.167,0,2,0.0,1,2,0.5,1,2,3,9,2,0,3,2,3,6
2019-01-06,20-178,LAC,ORL,W (+10),23:01,6,7,0.857,1,1,1.0,0,0,,0,2,2,2,1,0,1,2,13,1
2019-01-08,20-180,LAC,CHO,W (+19),21:07,3,6,0.5,0,0,,2,2,1.0,0,3,3,2,3,4,2,2,8,-9
2019-01-10,20-182,LAC,DEN,L (-21),20:26,1,4,0.25,1,2,0.5,0,0,,0,2,2,1,1,0,3,1,3,-21
2019-01-12,20-184,LAC,DET,L (-5),16:52,3,7,0.429,0,1,0.0,1,1,1.0,0,1,1,4,1,0,2,2,7,3
2019-01-14,20-186,LAC,NOP,L (-4),12:59,0,3,0.0,0,1,0.0,0,0,,0,0,0,2,0,1,2,2,0,-13
2019-01-16,20-188,LAC,UTA,L (-20),22:04,4,8,0.5,0,2,0.0,0,0,,0,1,1,2,0,0,4,1,8,-19
2019-01-18,20-190,LAC,GSW,L (-18),42:30,7,17,0.412,0,3,0.0,10,10,1.0,1,2,3,5,3,0,2,2,24,-10
2019-01-20,20-192,LAC,SAS,W (+8),37:40,3,15,0.2,1,2,0.5,0,0,,1,3,4,3,0,0,3,3,7,-4
2019-01-22,20-194,LAC,DAL,L (-8),20:22,4,14,0.286,0,2,0.0,0,0,,0,1,1,1,0,1,0,1,8,5
2019-01-23,20-195,LAC,MIA,W (+12),30:50,5,10,0.5,0,1,0.0,0,0,,0,2,2,3,1,0,1,3,10,1
2019-01-25,20-197,LAC,CHI,W (+5),21:50,2,6,0.333,0,2,0.0,2,3,0.667,0,0,0,5,0,0,2,1,6,-7
2019-01-27,20-199,LAC,SAC,W (+14),31:14,5,9,0.556,0,1,0.0,7,7,1.0,2,2,4,5,2,0,1,3,17,-2
2019-01-28,20-200,LAC,ATL,L (-5),24:27,5,7,0.714,1,2,0.5,0,0,,1,1,2,2,2,0,2,4,11,-6
2019-01-31,20-203,LAC,LAL,L (-3),21:12,4,12,0.333,1,4,0.25,1,2,0.5,0,2,2,3,2,0,0,3,10,-12
2019-02-02,20-205,LAC,DET,W (+10),30:01,4,9,0.444,1,3,0.333,5,8,0.625,1,6,7,5,3,1,2,4,14,9
2019-02-03,20-206,LAC,TOR,L (-18),26:11,9,15,0.6,0,0,,1,2,0.5,1,4,5,3,1,2,1,0,19,-12
2019-02-05,20-208,LAC,CHO,W (+2),17:39,2,8,0.25,0,0,,2,2,1.0,2,0,2,3,0,0,0,0,6,-18
2019-02-07,20-210,LAC,IND,L (-24),26:00,2,4,0.5,0,1,0.0,4,4,1.0,1,0,1,6,0,1,5,4,8,-9
2019-02-09,20-212,LAC,BOS,W (+11),25:49,5,8,0.625,1,2,0.5,3,4,0.75,1,3,4,5,2,1,5,3,14,11
2019-02-11,20-214,LAC,MIN,L (-10),22:00,4,8,0.5,2,3,0.667,0,0,,0,1,1,1,1,0,3,2,10,-17
2019-02-13,20-216,LAC,PHO,W (+27),21:38,4,7,0.571,0,1,0.0,2,4,0.5,1,3,4,3,2,1,1,1,10,20
2019-02-22,20-225,LAC,MEM,W (+6),15:21,1,4,0.25,0,0,,4,4,1.0,0,2,2,4,1,0,3,2,6,-2
2019-02-24,20-227,LAC,DEN,L (-27),29:49,0,9,0.0,0,3,0.0,1,2,0.5,0,1,1,4,2,1,4,2,1,-24
2019-02-25,20-228,LAC,DAL,W (+9),17:25,0,4,0.0,0,3,0.0,0,0,,0,2,2,0,2,0,0,0,0,-8
2019-02-27,20-230,LAC,UTA,L (-6),19:20,6,8,0.75,1,2,0.5,0,0,,0,1,1,1,1,1,0,5,13,-1
2019-03-01,20-232,LAC,SAC,W (+7),32:23,6,13,0.462,3,3,1.0,0,0,,2,4,6,1,1,0,1,4,15,0
2019-03-03,20-234,LAC,NYK,W (+21),29:13,6,9,0.667,2,3,0.667,1,1,1.0,0,3,3,4,1,0,1,3,15,19
2019-03-04,20-235,LAC,LAL,W (+8),24:06,5,9,0.556,1,2,0.5,3,3,1.0,0,1,1,4,0,2,0,1,14,-1
2019-03-08,20-239,LAC,OKC,W (+8),25:37,3,7,0.429,1,2,0.5,2,2,1.0,0,1,1,1,1,0,1,4,9,-4
2019-03-11,20-242,LAC,BOS,W (+25),21:54,4,7,0.571,1,1,1.0,3,3,1.0,2,3,5,3,1,0,4,1,12,1
2019-03-12,20-243,LAC,POR,L (-21),26:56,6,11,0.545,1,1,1.0,2,4,0.5,1,1,2,4,2,0,3,3,15,-12
2019-03-15,20-246,LAC,CHI,W (+7),29:54,7,12,0.583,1,2,0.5,2,4,0.5,1,6,7,7,3,1,1,3,17,18
2019-03-17,20-248,LAC,BRK,W (+3),35:34,5,12,0.417,3,5,0.6,1,2,0.5,0,2,2,10,0,0,2,3,14,18
2019-03-19,20-250,LAC,IND,W (+6),28:35,6,9,0.667,1,2,0.5,4,6,0.667,0,3,3,3,2,0,0,1,17,6
2019-03-22,20-253,LAC,CLE,W (+2),34:32,5,11,0.455,1,1,1.0,5,5,1.0,1,1,2,5,2,0,1,2,16,4
2019-03-24,20-255,LAC,NYK,W (+11),37:44,3,10,0.3,0,4,0.0,4,4,1.0,0,2,2,8,1,1,1,3,10,6
2019-03-26,20-257,LAC,MIN,W (+11),30:46,4,8,0.5,0,1,0.0,2,2,1.0,1,3,4,4,1,0,0,3,10,8
2019-03-28,20-259,LAC,MIL,L (-10),31:46,8,15,0.533,1,2,0.5,4,5,0.8,1,5,6,2,1,2,3,2,21,-16
2019-03-30,20-261,LAC,CLE,W (+24),27:40,9,12,0.75,3,3,1.0,1,2,0.5,1,1,2,8,1,0,1,1,22,7
2019-03-31,20-262,LAC,MEM,W (+17),28:13,2,6,0.333,0,0,,2,2,1.0,1,3,4,3,4,2,2,3,6,9
2019-04-03,20-265,LAC,HOU,L (-32),32:55,8,16,0.5,1,3,0.333,3,5,0.6,2,2,4,4,2,0,3,2,20,-8
2019-04-05,20-267,LAC,LAL,L (-5),37:00,10,19,0.526,0,4,0.0,0,0,,2,6,8,6,1,1,1,3,20,5
2019-04-07,20-269,LAC,GSW,L (-27),29:34,5,10,0.5,0,1,0.0,2,3,0.667,0,1,1,3,1,0,0,0,12,-28
2019-04-10,20-272,LAC,UTA,W (+6),24:06,3,6,0.5,0,0,,2,2,1.0,0,2,2,3,2,0,1,4,8,5
2019-10-23,21-103,OKC,UTA,L (-5),36:46,10,23,.435,3,7,.429,3,6,.500,0,2,2,1,1,0,1,2,26,-12
2019-10-25,21-105,OKC,WAS,L (-12),36:04,10,17,.588,2,4,.500,6,8,.750,0,7,7,4,2,3,2,2,28,-1
2019-10-27,21-107,OKC,GSW,W (+28),29:40,8,14,.571,1,5,.200,2,4,.500,0,9,9,4,0,2,3,1,19,+27
2019-10-28,21-108,OKC,HOU,L (-4),35:55,8,21,.381,2,6,.333,4,4,1.000,3,6,9,4,0,0,0,2,22,+5
2019-10-30,21-110,OKC,POR,L (-3),35:47,3,13,.231,0,2,.000,7,10,.700,3,5,8,3,1,0,4,2,13,-12
2019-11-02,21-113,OKC,NOP,W (+11),35:31,8,14,.571,3,5,.600,4,5,.800,1,7,8,4,0,1,1,0,23,+12
2019-11-05,21-116,OKC,ORL,W (+8),35:56,9,14,.643,3,5,.600,3,4,.750,0,3,3,2,1,1,1,1,24,+14
2019-11-07,21-118,OKC,SAS,L (-9),34:01,9,18,.500,0,1,.000,3,3,1.000,0,1,1,3,0,0,2,1,21,-9
2019-11-09,21-120,OKC,GSW,W (+6),36:33,6,15,.400,0,3,.000,0,0,,1,4,5,3,0,0,3,2,12,-2
2019-11-10,21-121,OKC,MIL,L (-2),36:48,9,19,.474,4,6,.667,0,0,,1,5,6,6,2,0,2,1,22,-8
2019-11-12,21-123,OKC,IND,L (-26),28:13,3,12,.250,1,3,.333,4,4,1.000,3,3,6,0,1,0,3,1,11,-19
2019-11-15,21-126,OKC,PHI,W (+8),40:25,9,19,.474,1,3,.333,5,6,.833,0,2,2,3,2,0,2,2,24,+1
2019-11-18,21-129,OKC,LAC,L (-2),30:37,4,10,.400,1,4,.250,2,2,1.000,0,1,1,0,1,0,5,5,11,0
2019-11-19,21-130,OKC,LAL,L (-5),36:09,5,16,.313,2,6,.333,4,4,1.000,1,4,5,4,1,1,2,0,16,-9
2019-11-22,21-133,OKC,LAL,L (-3),36:05,10,18,.556,2,2,1.000,2,2,1.000,1,6,7,4,1,1,2,1,24,-3
2019-11-25,21-136,OKC,GSW,W (+3),31:30,5,12,.417,0,0,,2,2,1.000,0,5,5,3,2,1,3,3,12,+13
2019-11-27,21-138,OKC,POR,L (-17),29:40,4,10,.400,0,2,.000,3,5,.600,0,2,2,5,0,0,0,4,11,-26
2019-11-29,21-140,OKC,NOP,W (+5),33:15,4,13,.308,1,6,.167,1,2,.500,0,1,1,3,2,0,4,3,10,+3
2019-12-01,21-142,OKC,NOP,W (+3),33:05,5,17,.294,2,8,.250,5,6,.833,1,8,9,2,1,0,2,2,17,+5
2019-12-04,21-145,OKC,IND,L (-7),36:22,7,19,.368,1,7,.143,1,1,1.000,0,3,3,3,1,0,2,1,16,-19
2019-12-06,21-147,OKC,MIN,W (+12),41:32,8,13,.615,1,1,1.000,12,12,1.000,1,4,5,2,1,0,3,2,29,+9
2019-12-08,21-149,OKC,POR,W (+12),38:16,5,14,.357,2,4,.500,9,12,.750,0,9,9,3,1,0,1,2,21,+6
2019-12-09,21-150,OKC,UTA,W (+14),33:28,7,20,.350,2,5,.400,4,6,.667,0,6,6,3,2,0,1,2,20,+5
2019-12-11,21-152,OKC,SAC,L (-1),35:33,4,11,.364,0,1,.000,6,8,.750,0,4,4,4,1,1,3,3,14,-3
2019-12-14,21-155,OKC,DEN,L (-8),37:44,7,13,.538,0,1,.000,2,2,1.000,0,4,4,3,0,0,2,4,16,-5
2019-12-16,21-157,OKC,CHI,W (+3),34:24,1,3,.333,0,1,.000,5,8,.625,0,3,3,2,1,0,5,0,7,-1
2019-12-18,21-159,OKC,MEM,W (+4),38:42,7,16,.438,0,3,.000,6,6,1.000,2,7,9,1,2,2,1,1,20,+14
2019-12-20,21-161,OKC,PHO,W (+18),36:06,13,18,.722,2,2,1.000,4,5,.800,0,4,4,3,1,0,0,2,32,+11
2019-12-22,21-163,OKC,LAC,W (+6),34:29,12,25,.480,2,3,.667,6,6,1.000,0,3,3,5,2,0,2,2,32,+16
2019-12-26,21-167,OKC,MEM,L (-13),37:08,8,19,.421,1,6,.167,4,4,1.000,0,3,3,1,3,0,1,0,21,-9
2019-12-27,21-168,OKC,CHO,W (+2),36:01,10,17,.588,1,1,1.000,6,8,.750,1,3,4,1,2,0,1,1,27,-1
2019-12-29,21-170,OKC,TOR,W (+1),38:47,12,21,.571,3,5,.600,5,6,.833,2,5,7,2,3,0,3,1,32,-6
2019-12-31,21-172,OKC,DAL,W (+5),35:12,6,15,.400,0,2,.000,7,8,.875,2,8,10,3,2,1,0,1,19,+4
2020-01-02,21-174,OKC,SAS,W (+6),36:11,10,18,.556,2,4,.500,3,4,.750,0,7,7,5,1,2,1,1,25,+15
2020-01-04,21-176,OKC,CLE,W (+15),34:25,9,14,.643,0,3,.000,2,2,1.000,0,7,7,0,2,0,2,2,20,+16
2020-01-06,21-178,OKC,PHI,L (-7),36:38,6,13,.462,0,3,.000,2,5,.400,2,7,9,2,0,0,0,1,14,-13
2020-01-07,21-179,OKC,BRK,W (+8),38:37,8,18,.444,0,3,.000,6,6,1.000,2,2,4,2,2,0,4,0,22,+14
2020-01-09,21-181,OKC,HOU,W (+21),30:44,8,15,.533,1,3,.333,3,3,1.000,0,3,3,3,1,0,0,1,20,+28
2020-01-11,21-183,OKC,LAL,L (-15),34:52,8,17,.471,1,4,.250,7,7,1.000,0,8,8,0,1,1,1,0,24,-12
2020-01-13,21-185,OKC,MIN,W (+13),36:26,8,12,.667,2,3,.667,2,2,1.000,2,18,20,10,0,1,2,1,20,+23
2020-01-15,21-187,OKC,TOR,L (-9),37:44,6,10,.600,2,2,1.000,7,7,1.000,0,6,6,6,3,1,3,2,21,-6
2020-01-17,21-189,OKC,MIA,L (-7),37:10,5,13,.385,2,6,.333,6,6,1.000,0,5,5,8,1,0,1,4,18,-10
2020-01-18,21-190,OKC,POR,W (+13),34:34,9,17,.529,0,4,.000,4,6,.667,3,7,10,5,0,0,2,1,22,+10
2020-01-20,21-192,OKC,HOU,W (+5),38:54,5,10,.500,0,1,.000,3,4,.750,0,10,10,1,3,1,1,0,13,+1
2020-01-22,21-194,OKC,ORL,W (+6),37:36,7,10,.700,0,0,,4,5,.800,0,12,12,1,3,3,3,4,18,+9
2020-01-24,21-196,OKC,ATL,W (+29),37:12,7,16,.438,0,2,.000,10,13,.769,1,2,3,6,1,3,3,1,24,+25
2020-01-25,21-197,OKC,MIN,W (+9),34:08,3,14,.214,0,2,.000,5,6,.833,0,7,7,2,1,2,3,3,11,-9
2020-01-27,21-199,OKC,DAL,L (-10),32:13,5,20,.250,3,6,.500,3,4,.750,1,10,11,4,0,1,3,1,16,-6
2020-01-29,21-201,OKC,SAC,W (+20),38:37,6,13,.462,3,5,.600,2,3,.667,0,7,7,7,1,2,2,2,17,+25
2020-01-31,21-203,OKC,PHO,W (+4),34:00,5,16,.313,0,5,.000,2,2,1.000,3,6,9,4,0,1,1,2,12,+19
2020-02-05,21-208,OKC,CLE,W (+6),39:19,9,17,.529,2,5,.400,3,4,.750,0,10,10,3,2,2,2,4,23,-2
2020-02-07,21-210,OKC,DET,W (+7),36:23,7,13,.538,1,3,.333,6,9,.667,2,0,2,1,0,2,1,2,21,+10
2020-02-09,21-212,OKC,BOS,L (-1),33:05,8,12,.667,3,4,.750,5,7,.714,0,6,6,4,0,0,1,1,24,+2
2020-02-11,21-214,OKC,SAS,L (-8),33:04,6,11,.545,2,3,.667,3,4,.750,0,5,5,2,1,0,0,2,17,-1
2020-02-13,21-216,OKC,NOP,W (+5),37:10,6,14,.429,2,6,.333,3,4,.750,0,3,3,7,1,0,0,2,17,+5
2020-02-21,21-224,OKC,DEN,W (+12),38:41,4,14,.286,0,3,.000,3,4,.750,2,7,9,9,0,1,1,3,11,+12
2020-02-23,21-226,OKC,SAS,W (+28),31:45,8,14,.571,1,2,.500,5,5,1.000,2,11,13,4,0,0,3,0,22,+22
2020-02-25,21-228,OKC,CHI,W (+2),33:58,5,11,.455,2,5,.400,9,12,.750,1,10,11,3,1,2,3,1,21,-1
2020-02-27,21-230,OKC,SAC,W (+4),38:00,8,15,.533,1,3,.333,3,6,.500,1,2,3,3,0,1,2,3,20,+5
2020-02-28,21-231,OKC,MIL,L (-47),26:52,5,12,.417,1,3,.333,0,1,.000,0,3,3,2,0,0,2,1,11,-36
2020-03-03,21-235,OKC,LAC,L (-15),33:58,7,12,.583,1,2,.500,0,0,,0,6,6,2,1,3,2,2,15,-22
2020-03-04,21-236,OKC,DET,W (+7),34:32,12,15,.800,2,4,.500,1,1,1.000,0,2,2,3,2,2,1,0,27,+12
2020-03-06,21-238,OKC,NYK,W (+23),21:40,6,10,.600,1,3,.333,5,6,.833,0,3,3,5,2,0,0,4,18,+14
2020-03-08,21-240,OKC,BOS,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2020-08-01,22-020,OKC,UTA,W (+16),32:23,6,12,.500,2,5,.400,5,6,.833,0,2,2,6,3,0,2,1,19,+15
2020-08-03,22-022,OKC,DEN,L (-8),38:02,6,13,.462,3,6,.500,9,11,.818,0,5,5,2,0,0,3,5,24,-9
2020-08-05,22-024,OKC,LAL,W (+19),35:30,3,11,.273,1,4,.250,6,6,1.000,1,6,7,5,3,1,2,0,13,+9
2020-08-07,22-026,OKC,MEM,L (-29),34:23,3,13,.231,1,8,.125,3,4,.750,0,3,3,3,1,0,3,0,10,-9
2020-08-09,22-028,OKC,WAS,W (+18),35:56,6,12,.500,0,2,.000,6,8,.750,1,5,6,7,1,0,2,2,18,+8
2020-08-10,22-029,OKC,PHO,L (-27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2020-08-12,22-031,OKC,MIA,W (+1),24:32,6,9,.667,2,3,.667,4,4,1.000,0,1,1,1,0,1,2,1,18,-23
2020-08-14,22-033,OKC,LAC,L (-4),13:31,6,10,.600,0,1,.000,1,1,1.000,0,4,4,0,1,0,3,0,13,+12
2020-12-26,22-167,OKC,CHO,W (+2),34:22,8,20,.400,1,6,.167,7,10,.700,2,5,7,9,0,1,5,4,24,+14
2020-12-28,22-169,OKC,UTA,L (-1),36:25,9,21,.429,1,7,.143,4,4,1.000,0,3,3,7,1,1,4,3,23,+4
2020-12-29,22-170,OKC,ORL,L (-11),33:20,8,10,.800,3,3,1.000,4,5,.800,0,7,7,7,0,0,5,1,23,-8
2020-12-31,22-172,OKC,NOP,L (-33),28:30,3,10,.300,2,6,.333,0,2,.000,1,3,4,4,2,0,2,2,8,-14
2021-01-02,22-174,OKC,ORL,W (+9),34:46,5,17,.294,2,9,.222,4,5,.800,0,4,4,7,0,1,1,3,16,+1
2021-01-04,22-176,OKC,MIA,L (-28),27:51,7,15,.467,2,6,.333,2,2,1.000,0,2,2,4,0,0,2,2,18,-21
2021-01-06,22-178,OKC,NOP,W (+1),36:30,7,17,.412,2,7,.286,5,6,.833,0,5,5,9,5,0,2,2,21,-4
2021-01-08,22-180,OKC,NYK,W (+12),34:29,9,14,.643,3,3,1.000,4,6,.667,4,6,10,7,0,1,3,2,25,+3
2021-01-10,22-182,OKC,BRK,W (+13),36:01,11,16,.688,2,4,.500,7,8,.875,1,5,6,7,2,1,2,3,31,+1
2021-01-12,22-184,OKC,SAS,L (-10),33:29,7,10,.700,0,0,,6,9,.667,2,7,9,2,0,0,2,2,20,0
2021-01-13,22-185,OKC,LAL,L (-29),27:16,5,12,.417,1,3,.333,6,7,.857,0,2,2,1,0,0,2,1,17,-22
2021-01-15,22-187,OKC,CHI,W (+2),43:31,13,19,.684,3,5,.600,4,4,1.000,0,5,5,10,1,0,1,5,33,+18
2021-01-19,22-191,OKC,DEN,L (-18),27:13,5,11,.455,1,4,.250,3,6,.500,0,5,5,7,0,1,4,0,14,-19
2021-01-22,22-194,OKC,LAC,L (-14),38:37,11,20,.550,2,5,.400,6,6,1.000,0,3,3,8,2,0,3,2,30,-10
2021-01-24,22-196,OKC,LAC,L (-8),36:43,8,16,.500,1,3,.333,6,6,1.000,1,5,6,7,0,0,2,3,23,-10
2021-01-25,22-197,OKC,POR,W (+3),32:24,8,12,.667,3,4,.750,5,10,.500,0,9,9,6,1,2,3,0,24,+1
2021-01-27,22-199,OKC,PHO,W (+5),31:20,6,18,.333,2,7,.286,7,9,.778,1,6,7,8,2,2,4,0,21,0
2021-01-29,22-201,OKC,BRK,L (-22),31:09,7,10,.700,0,1,.000,10,13,.769,1,3,4,5,0,1,4,2,24,-14
2021-02-01,22-204,OKC,HOU,L (-30),28:58,8,15,.533,2,5,.400,1,2,.500,0,2,2,5,1,2,5,1,19,-31
2021-02-03,22-206,OKC,HOU,W (+17),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
2021-02-05,22-208,OKC,MIN,L (-3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
2021-02-06,22-209,OKC,MIN,W (+2),34:21,12,22,.545,2,6,.333,5,6,.833,0,9,9,7,1,0,2,2,31,+7
2021-02-08,22-211,OKC,LAL,L (-7),41:34,10,25,.400,4,8,.500,5,5,1.000,1,6,7,10,0,1,4,3,29,+3
2021-02-10,22-213,OKC,LAL,L (-1),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
2021-02-12,22-215,OKC,DEN,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2021-02-14,22-217,OKC,MIL,W (+5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
2021-02-16,22-219,OKC,POR,L (-11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
2021-02-17,22-220,OKC,MEM,L (-9),32:38,6,14,.429,2,5,.400,8,8,1.000,1,2,3,6,0,0,1,2,22,-2
2021-02-19,22-222,OKC,MIL,L (-13),36:01,4,13,.308,2,5,.400,6,9,.667,0,4,4,5,1,0,4,3,16,-12
2021-02-21,22-224,OKC,CLE,W (+16),35:50,9,15,.600,3,3,1.000,10,12,.833,0,4,4,9,1,0,3,3,31,+10
2021-02-22,22-225,OKC,MIA,L (-14),35:20,10,15,.667,2,3,.667,5,6,.833,1,1,2,5,1,1,3,3,27,-15
2021-02-24,22-227,OKC,SAS,W (+3),38:01,13,20,.650,6,11,.545,10,11,.909,0,8,8,4,0,1,4,1,42,+15
