Date,Age,Tm,Opp,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
2022-10-22,24-102,OKC,DEN,L (-5),33:56,11,24,.458,1,5,.200,5,5,1.000,0,3,3,7,1,0,5,4,28,-6
2022-10-23,24-103,OKC,MIN,L (-10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
2022-10-25,24-105,OKC,LAC,W (+14),36:44,11,22,.500,2,2,1.000,9,9,1.000,1,4,5,8,3,3,2,0,33,+23
2022-10-27,24-107,OKC,LAC,W (+8),34:01,10,23,.435,2,4,.500,2,2,1.000,1,4,5,6,3,0,3,4,24,+12
2022-10-29,24-109,OKC,DAL,W (+6),41:20,15,27,.556,0,2,.000,8,8,1.000,2,4,6,9,2,1,3,2,38,+20
2022-11-01,24-112,OKC,ORL,W (+8),32:54,12,18,.667,0,3,.000,10,11,.909,0,4,4,6,3,2,5,2,34,-2
2022-11-03,24-114,OKC,DEN,L (-12),35:12,13,17,.765,0,0,,11,11,1.000,1,3,4,3,2,0,4,3,37,-6
2022-11-05,24-116,OKC,MIL,L (-14),31:46,7,16,.438,0,1,.000,4,5,.800,0,1,1,3,1,1,2,3,18,-19
2022-11-07,24-118,OKC,DET,L (-9),38:00,13,23,.565,0,0,,7,7,1.000,2,5,7,5,1,4,1,2,33,-8
2022-11-09,24-120,OKC,MIL,L (-4),46:05,13,25,.520,2,5,.400,11,13,.846,1,3,4,4,0,2,4,5,39,+3
2022-11-11,24-122,OKC,TOR,W (+19),28:03,8,14,.571,1,2,.500,3,4,.750,0,3,3,4,3,1,3,2,20,+13
2022-11-13,24-124,OKC,NYK,W (+10),36:12,13,22,.591,2,3,.667,9,10,.900,0,5,5,8,3,2,6,2,37,+4
2022-11-14,24-125,OKC,BOS,L (-4),35:59,13,26,.500,2,4,.500,9,9,1.000,1,3,4,8,2,1,4,2,37,-3
2022-11-16,24-127,OKC,WAS,W (+1),34:49,14,22,.636,2,3,.667,12,17,.706,2,4,6,7,0,1,2,1,42,+9
2022-11-18,24-129,OKC,MEM,L (-11),33:52,6,18,.333,2,4,.500,1,1,1.000,1,5,6,6,0,1,2,4,15,-13
2022-11-21,24-132,OKC,NYK,L (-10),34:36,9,22,.409,0,2,.000,12,13,.923,1,4,5,7,1,1,3,3,30,-7
2022-11-23,24-134,OKC,DEN,L (-5),42:31,8,20,.400,1,4,.250,14,14,1.000,1,6,7,11,2,1,1,3,31,+2
2022-11-25,24-136,OKC,CHI,W (+4),40:23,8,21,.381,0,3,.000,14,15,.933,1,7,8,7,0,1,1,2,30,+9
2022-11-26,24-137,OKC,HOU,L (-13),27:31,12,21,.571,1,3,.333,7,7,1.000,1,2,3,3,2,0,3,1,32,-9
2022-11-28,24-139,OKC,NOP,L (-4),35:38,7,21,.333,1,6,.167,16,18,.889,3,3,6,4,2,0,7,4,31,-9
2022-11-30,24-141,OKC,SAS,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022-12-03,24-144,OKC,MIN,W (+7),34:37,10,17,.588,1,2,.500,12,12,1.000,0,1,1,6,3,1,4,0,33,-6
2022-12-05,24-146,OKC,ATL,W (+7),34:47,10,22,.455,0,3,.000,15,15,1.000,0,6,6,5,2,0,6,4,35,+12
2022-12-07,24-148,OKC,MEM,L (-21),33:47,4,14,.286,1,4,.250,17,19,.895,0,3,3,7,0,1,5,0,26,-12
2022-12-10,24-151,OKC,CLE,L (-8),31:24,7,13,.538,0,2,.000,9,9,1.000,1,1,2,3,2,0,2,6,23,-17
2022-12-12,24-153,OKC,DAL,L (-7),37:33,14,23,.609,1,2,.500,13,13,1.000,0,2,2,3,3,0,2,5,42,+6
2022-12-14,24-155,OKC,MIA,L (-2),36:22,10,20,.500,1,3,.333,6,6,1.000,0,8,8,7,1,0,5,1,27,+10
2022-12-16,24-157,OKC,MIN,L (-2),37:49,11,23,.478,3,5,.600,10,12,.833,1,6,7,5,1,0,5,4,35,+5
2022-12-17,24-158,OKC,MEM,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022-12-19,24-160,OKC,POR,W (+2),36:02,10,24,.417,1,1,1.000,14,14,1.000,0,2,2,6,1,2,2,2,35,-1
2022-12-21,24-162,OKC,POR,W (+3),35:28,8,19,.421,0,3,.000,11,13,.846,0,6,6,3,2,1,5,3,27,-1
2022-12-23,24-164,OKC,NOP,L (-3),43:05,17,29,.586,3,4,.750,7,9,.778,1,9,10,6,2,1,2,4,44,-6
2022-12-27,24-168,OKC,SAS,W (+16),33:24,9,14,.643,0,0,,10,11,.909,1,5,6,8,2,4,4,2,28,+11
2022-12-29,24-170,OKC,CHO,L (-8),35:59,11,23,.478,1,3,.333,5,7,.714,2,1,3,5,2,0,2,4,28,-9
2022-12-31,24-172,OKC,PHI,L (-19),32:23,4,15,.267,1,2,.500,5,8,.625,2,4,6,5,0,0,2,3,14,-17
2023-01-03,24-175,OKC,BOS,W (+33),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
2023-01-04,24-176,OKC,ORL,L (-11),35:13,8,19,.421,0,1,.000,17,18,.944,1,3,4,4,1,1,3,3,33,-3
2023-01-06,24-178,OKC,WAS,W (+17),33:09,12,23,.522,1,4,.250,5,6,.833,0,3,3,4,1,2,0,4,30,+25
2023-01-08,24-180,OKC,DAL,W (+11),36:15,11,17,.647,0,1,.000,11,13,.846,0,5,5,5,1,2,3,5,33,+7
2023-01-10,24-182,OKC,MIA,L (-1),38:39,9,18,.500,2,4,.500,6,7,.857,0,4,4,4,3,0,6,2,26,+2
2023-01-12,24-184,OKC,PHI,W (+19),34:49,10,16,.625,1,1,1.000,16,16,1.000,1,7,8,6,1,2,1,2,37,+11
2023-01-13,24-185,OKC,CHI,W (+14),33:10,7,14,.500,0,1,.000,7,8,.875,0,5,5,6,4,2,2,3,21,+4
2023-01-15,24-187,OKC,BRK,W (+10),35:52,8,17,.471,1,4,.250,11,14,.786,1,6,7,1,1,1,1,0,28,0
2023-01-18,24-190,OKC,IND,W (+20),29:47,7,17,.412,1,4,.250,8,9,.889,1,2,3,6,3,0,2,2,23,+38
